,Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Range
132,Guatemala,Anti-corruption protests,Jul-21,Partly free,"The firing of Juan Francisco Sandoval, the head of the Special Prosecutor’s Office Against Impunity, by Attorney General Maria Porras.",Frustration with impunity for pervasive corruption and the reduction of judicial independence.,">10,000","General public, especially indigenous and student groups.",2 weeks,No policy/leadership change in response to protest.,,,X,X,Tens of thousands,,,,,,Guatemala City,Guatemala,Latin America and Caribbean,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,0.28500000000000014
133,Guatemala,Budget protests,Nov-20,Partly free,"Adoption of a government budget bill that included spending cuts for public health, education, the judiciary, and social support programs while increasing stipends for lawmakers.","Widespread dissatisfaction with systemic corruption, weakening state support for vulnerable populations, and an ineffective government response to the coronavirus pandemic.",">5,000",General public.,1 month,The govermnent withdrew the budget bill.,,,X,X,Thousands,X,,,,X,Guatemala City,Guatemala,Latin America and Caribbean,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,0.28500000000000014
134,Guinea,Municipal election protests,Feb-18,Partly free,Delays in the announcement of final vote results for the 2018 municipal elections and a concurrent call for strikes by teachers to protest low pay.,Concerns about electoral manipulation and frustration over poor teacher pay.,">1,000",General public.,2 months,No policy/leadership change in response to protests.,,X,X,X,Tens of thousands,X,,,,,Conakry,Guinea,Sub-Saharan Africa,4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,0.3520000000000003
135,Guinea,Term limit protests,Oct-19,Partly free,Suspicions that President Alpha Condé would seek a third term by amending the constitution.,Rising authoritarianism and repression of dissent and protests.,">100,000","Coalition of politicians, activists.",1 month,No policy/leadership change in response to the protests.,,,X,,Hundreds of thousands,,X,X,X,,Conakry,Guinea,Sub-Saharan Africa,4.984,0.09,5.16,4.808,7.838,0.639,55.008,0.697,0.095,0.766,2.43,0.42,0.399,0.206,0.384,0.25,0.111,3.216,0.3520000000000003
136,Haiti,Presidential protests,Feb-21,Partly free,"President Jovenel Moïse’s assertion that his five-year term as president would end in February 2022 rather than February 2021, the assassination of Moïse in July 2021, and rising levels of criminal violence.","Concerns over entrenchment of the Moïse government, lack of elections, systemic corruption, economic deterioration, and increasing political instability.",">1,000",General public.,5 months,No policy/leadership change in response to protests.,,X,X,X,Thousands,,,,X,,Port-au-Prince,Haiti,Latin America and Caribbean,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,0.677
137,Haiti,Tax protests,Sep-17,Partly free,"Introduction of new taxes on cigarettes, passports, and other goods.","Anger over the increasing cost of living, lack of economic opportunity, and the failure of the government to provide basic services.",">1,000",General public.,2 months,No policy/leadership change in response to protests.,,,X,,Unknown,,,,,X,Port-au-Prince,Haiti,Latin America and Caribbean,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,0.677
138,Haiti,“March for Life” protest,Dec-20,Partly free,Anniversary of International Human Rights Day and enactment of a new law on public security.,Concern over President Jovenel Moïse’s ongoing rule by decree; deepening economic and social insecurity; and concerns over perceived repression of antigovernment movements.,">1,000",Opponents of Moïse’s government.,1 day,No policy or leadership change in response to the protests.,,X,X,,Thousands,,,,,,Port-au-Prince,Haiti,Latin America and Caribbean,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,0.677
139,Haiti,PetroCaribe protests,Jul-18,Partly free,"Revocation of fuel subsidies, and revelations of President Jovenel Moïse’s direct involvement in a corruption scandal.","Poverty, corruption, lack of economic development despite economic aid, and inadequate public services and infrastructure.",">10,000","Political opposition, young people, union workers, university professors, business associations, middle-class participants.","1 year, 5 months","In July 2018, the fuel hike was reversed, and then prime minister Jack Guy Lafontant resigned.",,,X,,Thousands,,,,,,Port-au-Prince,Haiti,Latin America and Caribbean,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,0.677
140,Honduras,Privatization reform protests,Apr-19,Partly free,"Proposed reforms to the education and healthcare sectors, and revelations that President Juan Orlando Hernández received contributions from drug traffickers.","Government corruption, falling spending on public services, and widespread poverty despite economic growth.",">10,000","Teachers, medical professionals, unions, trade groups, farmers, taxi and truck drivers, police officers.",6 months,Hernández withdrew the proposed legislation.,,X,X,X,Thousands,X,,X,,,Tegucigalpa,Honduras,Latin America and Caribbean,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,0.3230000000000004
141,Honduras,2017 election protests,Dec-17,Partly free,"Significant irregularities in the reporting of the results of the December 2017 presidential election, which President Juan Orlando Hernández won narrowly.","Electoral fraud and broader democratic erosion (in other words, subversion of term limits).",">10,000","Political opposition, religious institutions.",2 weeks,No policy/leadership change in response to the protests.,,X,,X,Thousands,X,,,X,,Tegucigalpa,Honduras,Latin America and Caribbean,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,0.3230000000000004
142,Hong Kong,Democracy activist arrest protest,Feb-21,Partly free,The arrest of forty-seven prominent pro-democracy activists.,Anger at decreasing political pluralism and increased repression by mainland Chinese authorities.,>500,General public.,1 day,No policy/leadership change in response to the protest.,,,X,,Hundreds,,,,,,Hong Kong,,,,,,,,,,,,,,,,,,,,,
143,Hong Kong,Hong Kong autonomy protests,Apr-19,Partly free,"In 2019, introduction of a bill that would permit extradition of criminal suspects from Hong Kong to China. In 2020, introduction of a new national security law that would criminalize acts of secession, subversion of the central government, terrorism, or conspiracy with foreign influences, as well as permit Chinese law enforcement agencies to operate in Hong Kong.","Erosion of Hong Kong’s one country, two systems autonomy from China, and restriction of civil liberties.","2,000,000","General public, especially younger citizens and students.","1 year, 4 months (sporadic)","The Hong Kong government retracted the extradition bill. It also stepped back from postponing local council elections, which pro-democracy groups won.",,,X,,Thousands,X,,,,,Hong Kong,,,,,,,,,,,,,,,,,,,,,
144,Hong Kong,Sentencing protest,Aug-17,Partly free,Sentencing of three leaders of the 2014 Umbrella Movement to six to eight months in prison on the charge of unlawful assembly.,"Restriction of civil liberties, autonomy from China, and questions over judicial independence.","22,000",General public.,1 day,No policy/leadership change in response to the protests.,,,X,X,Hundreds of thousands,,X,,X,,Hong Kong,,,,,,,,,,,,,,,,,,,,,
145,Hungary,LGBT law protests,Jun-21,Partly free,Introduction and adoption of a law that bars teaching about same-sex relationships or LGBT issues to youth.,"Decreasing civic space, repression of LGBT groups, and increasing authoritarianism of Prime Minister Viktor Orban’s government.",">1,000","General public, especially LGBT activists.",3 weeks,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Budapest,Hungary,Central and Eastern Europe,5.992,0.047,6.085,5.899,10.358,0.943,68.0,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,0.18599999999999994
146,Hungary,“Slave law” protests,Dec-18,Free,"Legislation that would increase the amount of overtime employers could demand from employees, and the creation of a parallel court system.",Democratic backslide under Prime Minister Viktor Orbán and structural economic challenges (such as support for the country’s aging population).,"100,000","Trade unions, civil society groups, opposition parties.",10 months,No policy/leadership change in response to the protests.,,X,,,Thousands,,,,,X,Budapest,Hungary,Central and Eastern Europe,5.992,0.047,6.085,5.899,10.358,0.943,68.0,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,0.18599999999999994
147,Hungary,University independence protests,Sep-20,Partly free,The privatization of the University of Theater and Film Arts and the reorganization of its board under the control of an Orban ally.,"Frustration over increasing government control over higher education, restrictions on free expression, and declining academic freedom.",">5,000","General public, especially students.",2 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,,Budapest,Hungary,Central and Eastern Europe,5.992,0.047,6.085,5.899,10.358,0.943,68.0,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,0.18599999999999994
148,India,Economic policy protests,Mar-22,Partly free,Call for protest and strike by major Indian labor unions after the government proposed a series of labor reforms.,"Frustration with the government's economic policies, which they allege have harmed workers, especially in the country's informal economic sector; opposition to a proposed labor law.",">10,000",Members of labor unions.,1 week,No policy or leadership change in response to the protests.,,X,X,,Thousands,,,,,,New Delhi,India,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,0.10000000000000009
149,India,Hijab protest,Jan-22,Partly free,The imposition of a ban on wearing headscarves in educational institutions in Karnataka state and the circulation of a video that showed a Muslim woman being harassed by a mob of Hindu men.,Religious tensions between Hindus and Muslims and the perception that the ruling Bharatiya Janata Party is promoting Hindu nationalism to the detriment of Muslims' religious rights.,">1,000",Muslim women.,2 months,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,New Delhi,India,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,0.10000000000000009
150,India,Farm bill protests,Sep-20,Partly free,Passage of bills on agricultural market reform and contract farming.,"Disruption of the rural farm economy, which has traditionally relied on middlemen to facilitate agricultural transactions.",">1,000,000",Farmers.,15 months,"In November 2021, Prime Minister Narendra Modi announced that his government would move to repeal the agricultural reform laws. Organizers called off protests after the government agreed to consider guaranteed prices for agricultural products.",,X,,,Tens of millions,X,X,,X,,New Delhi,India,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,0.10000000000000009
151,India,Migrant worker protest,Apr-20,Partly free,Migrant workers’ demand to receive back wages and to be permitted to return home to local villages.,Extension of existing lockdown restrictions to combat coronavirus.,">1,000",Migrant workers.,1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,X,,,New Delhi,India,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,0.10000000000000009
152,India,24-hour strike,Jan-20,Partly free,Publication of government statistics predicting slowing economic growth.,Opposition to Modi’s economic policies (including privatization).,">10,000","Trade unions, students.",1 day,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,New Delhi,India,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,0.10000000000000009
153,India,Citizenship law protests,Dec-19,Partly free,"Passage of a bill, the Citizen Amendment Act, amending India’s citizenship law. It offers conditional amnesty and a path to citizenship for non-Muslim religious minorities from three neighboring countries (Afghanistan, Bangladesh, and Pakistan) who did not migrate to the country legally. The bill contains no such exemptions for Muslim migrants, fueling criticism that it discriminates against Muslims.","Concern over rising Hindu nationalism under Prime Minister Narendra Modi, marginalization of Muslims, and opposition to migration (among citizens in northeastern India­).",">100,000","Students, young people (protesting discrimination against Muslims), citizens in northeastern India (protesting migration).",5 months,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,New Delhi,India,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,0.10000000000000009
